2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 1, Current best: 520.8054705052394, Global best: 520.8054705052394, Runtime: 0.01030 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 2, Current best: 520.6830156082601, Global best: 520.6830156082601, Runtime: 0.00969 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 3, Current best: 520.6830156082601, Global best: 520.6830156082601, Runtime: 0.00986 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 4, Current best: 520.6830156082601, Global best: 520.6830156082601, Runtime: 0.00934 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 5, Current best: 520.6830156082601, Global best: 520.6830156082601, Runtime: 0.01417 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 6, Current best: 520.6830156082601, Global best: 520.6830156082601, Runtime: 0.01040 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 7, Current best: 520.6830156082601, Global best: 520.6830156082601, Runtime: 0.01103 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 8, Current best: 520.6830156082601, Global best: 520.6830156082601, Runtime: 0.01082 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 9, Current best: 520.6830156082601, Global best: 520.6830156082601, Runtime: 0.01135 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 10, Current best: 520.6830156082601, Global best: 520.6830156082601, Runtime: 0.00940 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 11, Current best: 520.6830156082601, Global best: 520.6830156082601, Runtime: 0.00927 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 12, Current best: 520.6830156082601, Global best: 520.6830156082601, Runtime: 0.00924 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 13, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.01168 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 14, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.00958 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 15, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.01055 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 16, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.01058 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 17, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.01117 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 18, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.00943 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 19, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.00924 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 20, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.00913 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 21, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.01041 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 22, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.01145 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 23, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.00918 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 24, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.00984 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 25, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.01012 seconds
